g7.t1_1	rna-NM_132816.4_1
g1671.t1_1	rna-NM_143694.3_1
g1672.t1_1	rna-NM_143506.4_1
g1673.t1_1	rna-NM_058133.5_1
g1674.t1_1	rna-NM_139633.3_1
g1676.t1_1	rna-NM_001104176.2_1
g1677.t1_1	rna-NM_080004.4_1
g1679.t2_1	rna-NM_001201888.3_1
g1681.t5_1	rna-NM_001038714.4_1
g1682.t1_1	rna-NM_001297972.1_1
g1683.t3_1	rna-NM_001298359.1_1
g1684.t1_1	rna-NM_001169354.2_1
g1687.t2_1	rna-NM_140742.3_1
g1688.t1_1	rna-NM_170253.2_1
g1690.t1_1	rna-NM_168311.3_1
g1692.t1_1	rna-NM_131988.3_1
g1694.t2_1	rna-NM_080126.4_1
g1695.t3_1	rna-NM_138767.3_1
g1697.t1_1	rna-NM_001298979.1_1
g1699.t1_1	rna-NM_079379.3_1
g1700.t1_1	rna-NM_079112.4_1
g1701.t2_1	rna-NM_001298932.1_1
g1702.t1_1	rna-NM_078937.4_1
g1703.t2_1	rna-NM_079995.3_1
g1705.t1_1	rna-NM_142734.2_1
g1707.t3_1	rna-NM_138131.4_1
g1708.t1_1	rna-NM_136850.4_1
g1709.t3_1	rna-NM_164998.3_1
g1710.t1_1	rna-NM_170089.2_1
g1712.t1_1	rna-NM_001298940.1_1
g1713.t1_1	rna-NM_001274278.1_1
g1714.t1_1	rna-NM_001274282.2_1
g1715.t1_1	rna-NM_138047.3_1
g1716.t1_1	rna-NM_001169832.2_1
g1717.t1_1	rna-NM_001298720.1_1
g1718.t1_1	rna-NM_001258903.1_1
g1720.t1_1	rna-NM_135517.4_1
g1721.t1_1	rna-NM_001169767.3_1
g1722.t1_1	rna-NM_001272738.2_1
g1723.t1_1	rna-NM_144045.2_1
g1724.t1_1	rna-NM_001369984.1_1
g1727.t1_1	rna-NM_001275070.1_1
g1731.t1_1	rna-NM_205885.2_1
g1733.t1_1	rna-NM_001042986.3_1
g1734.t1_1	rna-NM_166265.2_1
g1736.t1_1	rna-NM_001299335.1_1
g1738.t1_1	rna-NM_135477.3_1
g1739.t1_1	rna-NM_001363931.1_1
g1827.t2_1	rna-NM_169350.3_1
g1832.t2_1	rna-NM_001042981.3_1
g1835.t1_1	rna-NM_138025.3_1
g1837.t7_1	rna-NM_001298304.1_1
g1843.t2_1	rna-NM_137236.5_1
g1844.t1_1	rna-NM_143364.3_1
g1845.t1_1	rna-NM_001103882.3_1
g1846.t1_1	rna-NM_001201940.3_1
g1848.t1_1	rna-NM_168440.3_1
g1849.t2_1	rna-NM_001275644.1_1
g1850.t2_1	rna-NM_001275646.1_1
g1852.t3_1	rna-NM_078534.4_1
g1853.t1_1	rna-NM_001144633.3_1
g1854.t1_1	rna-NM_136574.3_1
g1855.t1_1	rna-NM_079604.3_1
g1856.t1_1	rna-NM_141939.4_1
g1858.t1_1	rna-NM_170177.3_1
g1860.t1_1	rna-NM_135149.3_1
g1861.t1_1	rna-NM_141985.3_1
g1864.t1_1	rna-NM_078698.4_1
g1865.t1_1	rna-NM_136771.3_1
g1866.t1_1	rna-NM_001272477.1_1
g1868.t1_1	rna-NM_141958.4_1
g1870.t1_1	rna-NM_168665.2_1
g1872.t1_1	rna-NM_078640.4_1
g1873.t1_1	rna-NM_001273797.1_1
g1874.t1_1	rna-NM_206524.2_1
g1875.t1_1	rna-NM_165474.3_1
g1876.t1_1	rna-NM_143530.3_1
g1877.t1_1	rna-NM_001300227.1_1
g1878.t1_1	rna-NM_132551.3_1
g2038.t1_1	rna-NM_001273308.1_1
g2040.t1_1	rna-NM_001299086.1_1
g2042.t1_1	rna-NM_079631.4_1
g2043.t1_1	rna-NM_001272340.2_1
g2044.t2_1	rna-NM_139728.2_1
g2045.t1_1	rna-NM_001273437.1_1
g2047.t1_1	rna-NM_057241.3_1
g2048.t3_1	rna-NM_167001.3_1
g2050.t1_1	rna-NM_078713.3_1
g2059.t2_1	rna-NM_143292.2_1
g2066.t1_1	rna-NM_176591.3_1
g2068.t1_1	rna-NM_057741.4_1
g2070.t1_1	rna-NM_142610.3_1
g2071.t1_1	rna-NM_001014600.1_1
g2072.t1_1	rna-NM_079587.3_1
g2079.t1_1	rna-NM_141477.2_1
g2083.t1_1	rna-NM_132074.3_1
g2084.t1_1	rna-NM_176439.3_1
g2085.t1_1	rna-NM_164676.2_1
g2086.t1_1	rna-NM_001042926.2_1
g2087.t1_1	rna-NM_143416.1_1
g2088.t1_1	rna-NM_079165.5_1
g2091.t1_1	rna-NM_143140.1_1
g2093.t3_1	rna-NM_164374.3_1
g2094.t1_1	rna-NM_206272.1_1
g2098.t1_1	rna-NM_001276203.1_1
g2100.t1_1	rna-NM_057892.4_1
g2101.t1_1	rna-NM_138119.7_1
g2102.t1_1	rna-NM_139508.3_1
g2103.t2_1	rna-NM_136698.3_1
g2104.t1_1	rna-NM_135978.2_1
g2107.t1_1	rna-NM_001276109.1_1
g2108.t1_1	rna-NM_164338.3_1
g2109.t1_1	rna-NM_001300670.1_1
g2110.t1_1	rna-NM_079090.3_1
g2113.t1_1	rna-NM_165674.3_1
g2114.t2_1	rna-NM_001298563.1_1
g2118.t1_1	rna-NM_078741.4_1
g2119.t1_1	rna-NM_001298195.1_1
g2123.t1_1	rna-NM_139402.3_1
g2125.t1_1	rna-NM_057486.4_1
g2128.t2_1	rna-NM_057225.4_1
g2130.t2_1	rna-NM_164503.2_1
g2131.t1_1	rna-NM_142238.3_1
g2132.t10_1	rna-NM_164833.2_1
g2139.t3_1	rna-NM_057462.5_1
g2140.t2_1	rna-NM_136373.4_1
g2141.t1_1	rna-NM_138015.4_1
g2142.t1_1	rna-NM_078613.4_1
g2143.t1_1	rna-NM_165831.3_1
g2144.t1_1	rna-NM_136051.2_1
g2145.t1_1	rna-NM_135307.3_1
g2146.t1_1	rna-NM_133127.3_1
g2147.t1_1	rna-NM_001298281.1_1
g2148.t1_1	rna-NM_143154.4_1
g2149.t2_1	rna-NM_134796.4_1
g2151.t1_1	rna-NM_137113.4_1
g2156.t1_1	rna-NM_079407.3_1
g2157.t1_1	rna-NM_079603.3_1
g2158.t2_1	rna-NM_001260374.2_1
g2162.t4_1	rna-NM_001276099.1_1
g2164.t1_1	rna-NM_137577.3_1
g2166.t1_1	rna-NM_170028.3_1
g2167.t2_1	rna-NM_001260047.1_1
g2172.t1_1	rna-NM_143754.5_1
g2173.t1_1	rna-NM_001300616.1_1
g2174.t2_1	rna-NM_169217.3_1
g2175.t1_1	rna-NM_137361.4_1
g2178.t1_1	rna-NM_001144222.2_1
g2179.t1_1	rna-NM_166221.4_1
g2180.t1_1	rna-NM_130495.2_1
g2182.t2_1	rna-NM_165772.4_1
g2183.t1_1	rna-NM_001316413.1_1
g2184.t1_1	rna-NM_136631.4_1
g2190.t2_1	rna-NM_079111.3_1
g2192.t1_1	rna-NM_079731.1_1
g2198.t1_1	rna-NM_078851.3_1
g2203.t1_1	rna-NM_134943.3_1
g2206.t1_1	rna-NM_078736.3_1
g2207.t1_1	rna-NM_001369966.1_1
g2209.t1_1	rna-NM_001169334.1_1
g2210.t1_1	rna-NM_140467.3_1
g2211.t1_1	rna-NM_001144731.3_1
g2212.t1_1	rna-NM_001298524.1_1
g2213.t1_1	rna-NM_140347.4_1
g2214.t1_1	rna-NM_140045.3_1
g2271.t2_1	rna-NM_001170384.1_1
g2272.t2_1	rna-NM_001298873.1_1
g2274.t1_1	rna-NM_140561.4_1
g2275.t1_1	rna-NM_167224.3_1
g2277.t1_1	rna-NM_166121.2_1
g2278.t1_1	rna-NM_164987.2_1
g2279.t1_1	rna-NM_141608.3_1
g2280.t1_1	rna-NM_170460.2_1
g2281.t1_1	rna-NM_001300338.1_1
g2282.t1_1	rna-NM_001275956.1_1
g2284.t1_1	rna-NM_135366.3_1
g2286.t1_1	rna-NM_142963.3_1
g2288.t2_1	rna-NM_176415.3_1
g2289.t2_1	rna-NM_130690.3_1
g2290.t1_1	rna-NM_136210.3_1
g2292.t1_1	rna-NM_001299286.1_1
g2293.t1_1	rna-NM_057946.4_1
g2294.t1_1	rna-NM_057948.3_1
g2295.t1_1	rna-NM_143158.2_1
g2296.t1_1	rna-NM_137960.3_1
g2297.t1_1	rna-NM_134942.3_1
g2298.t1_1	rna-NM_001273076.1_1
g2300.t1_1	rna-NM_135959.2_1
g2301.t1_1	rna-NM_165179.4_1
g2302.t1_1	rna-NM_165177.2_1
g2303.t1_1	rna-NM_132197.3_1
g2309.t1_1	rna-NM_001273866.2_1
g2314.t1_1	rna-NM_135797.3_1
g2315.t1_1	rna-NM_141633.2_1
g2318.t1_1	rna-NM_166444.2_1
g2320.t2_1	rna-NM_169544.2_1
g2321.t1_1	rna-NM_001273664.1_1
g2324.t1_1	rna-NM_001260023.1_1
g2326.t1_1	rna-NM_142822.3_1
g2327.t1_1	rna-NM_164511.2_1
g2328.t2_1	rna-NM_136131.4_1
g2329.t1_1	rna-NM_130488.3_1
g2330.t1_1	rna-NM_132894.3_1
g2332.t1_1	rna-NM_001274256.1_1
g2333.t1_1	rna-NM_001382071.1_1
g2335.t1_1	rna-NM_001201593.2_1
g2336.t1_1	rna-NM_130546.3_1
g2337.t1_1	rna-NM_001298213.1_1
g2338.t1_1	rna-NM_001202031.2_1
g2339.t1_1	rna-NM_141005.3_1
g2340.t1_1	rna-NM_130542.4_1
g2341.t1_1	rna-NM_206296.3_1
g2343.t1_1	rna-NM_079945.4_1
g2344.t2_1	rna-NM_141539.4_1
g2345.t1_1	rna-NM_139369.2_1
g2352.t1_1	rna-NM_133139.2_1
g2354.t1_1	rna-NM_079201.5_1
g2355.t1_1	rna-NM_079375.3_1
g2356.t1_1	rna-NM_139560.4_1
g2357.t1_1	rna-NM_165703.3_1
g2358.t1_1	rna-NM_176371.3_1
g2363.t1_1	rna-NM_134835.2_1
g2364.t1_1	rna-NM_134834.3_1
g2367.t3_1	rna-NM_001032020.3_1
g2368.t1_1	rna-NM_001272949.1_1
g2370.t1_1	rna-NM_137802.4_1
g2371.t1_1	rna-NM_001298212.1_1
g2372.t1_1	rna-NM_132859.4_1
g2374.t1_1	rna-NM_079817.3_1
g2375.t1_1	rna-NM_001273602.1_1
g2376.t1_1	rna-NM_169027.3_1
g2377.t1_1	rna-NM_136747.4_1
g2378.t1_1	rna-NM_001170175.2_1
g2381.t1_1	rna-NM_001043176.2_1
g2382.t2_1	rna-NM_142221.2_1
g2384.t1_1	rna-NM_079821.4_1
g2386.t1_1	rna-NM_001273968.1_1
g2387.t1_1	rna-NM_168081.3_1
g2388.t1_1	rna-NM_079658.4_1
g2391.t2_1	rna-NM_079737.3_1
g2392.t1_1	rna-NM_001316537.1_1
g2393.t1_1	rna-NM_143401.3_1
g2394.t1_1	rna-NM_001298400.1_1
g2395.t1_1	rna-NM_079625.3_1
g2396.t2_1	rna-NM_142096.3_1
g2397.t1_1	rna-NM_142095.4_1
g2398.t1_1	rna-NM_132206.3_1
g2399.t1_1	rna-NM_137393.4_1
g2400.t1_1	rna-NM_143465.2_1
g2401.t1_1	rna-NM_001258539.1_1
g2421.t1_1	rna-NM_140292.3_1
g2423.t1_1	rna-NM_140178.4_1
g2424.t1_1	rna-NM_170377.3_1
g2427.t1_1	rna-NM_001276213.1_1
g2430.t1_1	rna-NM_135925.3_1
g2432.t2_1	rna-NM_057856.5_1
g2436.t1_1	rna-NM_138048.3_1
g2437.t1_1	rna-NM_142986.4_1
g2439.t1_1	rna-NM_142316.2_1
g2440.t2_1	rna-NM_001104292.2_1
g2442.t1_1	rna-NM_078569.3_1
g2443.t1_1	rna-NM_167188.2_1
g2444.t1_1	rna-NM_078946.4_1
g2449.t1_1	rna-NM_137619.3_1
g2450.t1_1	rna-NM_001043255.2_1
g2451.t2_1	rna-NM_001103770.2_1
g2453.t1_1	rna-NM_139907.3_1
g2454.t1_1	rna-NM_079974.3_1
g2455.t1_1	rna-NM_079483.3_1
g2459.t2_1	rna-NM_001144287.2_1
g2465.t1_1	rna-NM_001382201.1_1
g2466.t1_1	rna-NM_144243.2_1
g2467.t1_1	rna-NM_166916.2_1
g2469.t1_1	rna-NM_057704.5_1
g2474.t2_1	rna-NM_057598.5_1
g2475.t1_1	rna-NM_057955.4_1
g2477.t2_1	rna-NM_143428.4_1
g2480.t1_1	rna-NM_001299879.1_1
g2487.t1_1	rna-NM_001275836.1_1
g2489.t1_1	rna-NM_143812.4_1
g2490.t1_1	rna-NM_058064.5_1
g2492.t1_1	rna-NM_143782.3_1
g2494.t1_1	rna-NM_080040.5_1
g2496.t2_1	rna-NM_168482.3_1
g2546.t1_1	rna-NM_167278.3_1
g2548.t1_1	rna-NM_001260146.2_1
g2552.t1_1	rna-NM_057732.4_1
g2553.t1_1	rna-NM_136581.3_1
g2557.t1_1	rna-NM_001298872.1_1
g2563.t1_1	rna-NM_164879.3_1
g2570.t2_1	rna-NM_001300061.1_1
g2572.t1_1	rna-NM_165856.2_1
g2574.t1_1	rna-NM_136748.4_1
g2577.t3_1	rna-NM_136679.5_1
g2579.t1_1	rna-NM_001275098.1_1
g2580.t1_1	rna-NM_001382087.1_1
g2582.t1_1	rna-NM_136026.4_1
g2584.t3_1	rna-NM_001169205.2_1
g2591.t1_1	rna-NM_132507.2_1
g2595.t1_1	rna-NM_134997.4_1
g2598.t1_1	rna-NM_164366.2_1
g2614.t1_1	rna-NM_001273242.1_1
g2619.t1_1	rna-NM_135378.4_1
g2620.t1_1	rna-NM_140322.3_1
g2621.t1_1	rna-NM_143513.3_1
g2624.t1_1	rna-NM_057517.3_1
g2626.t1_1	rna-NM_001169461.3_1
g2627.t1_1	rna-NM_130713.3_1
g2631.t1_1	rna-NM_079825.2_1
g2633.t1_1	rna-NM_141807.2_1
g2634.t1_1	rna-NM_078720.3_1
g2635.t1_1	rna-NM_001273582.1_1
g2637.t1_1	rna-NM_139796.3_1
g2638.t1_1	rna-NM_135069.3_1
g2639.t1_1	rna-NM_137946.4_1
g2641.t1_1	rna-NM_001258965.2_1
g2647.t1_1	rna-NM_135659.3_1
g2651.t1_1	rna-NM_001169545.2_1
g2652.t1_1	rna-NM_001144720.3_1
g2656.t1_1	rna-NM_001201629.2_1
g2657.t1_1	rna-NM_142597.4_1
g2662.t1_1	rna-NM_139775.2_1
g2665.t1_1	rna-NM_176737.3_1
g2666.t1_1	rna-NM_140647.4_1
g2667.t1_1	rna-NM_135394.3_1
g2670.t3_1	rna-NM_170659.2_1
g2672.t1_1	rna-NM_143066.3_1
g2673.t1_1	rna-NM_001273141.1_1
g2674.t1_1	rna-NM_205909.3_1
g2675.t1_1	rna-NM_164618.2_1
g2676.t1_1	rna-NM_135736.4_1
g2677.t1_1	rna-NM_165240.3_1
g2678.t2_1	rna-NM_057429.3_1
g2683.t1_1	rna-NM_001298839.1_1
g2685.t1_1	rna-NM_001299095.1_1
g2687.t1_1	rna-NM_167972.2_1
g2688.t1_1	rna-NM_166652.4_1
g2689.t2_1	rna-NM_001032251.2_1
g2690.t1_1	rna-NM_001299881.1_1
g2692.t1_1	rna-NM_168467.2_1
g2694.t1_1	rna-NM_164909.2_1
g2696.t1_1	rna-NM_135384.3_1
g2697.t1_1	rna-NM_142437.3_1
g2700.t1_1	rna-NM_132719.3_1
g2701.t1_1	rna-NM_001103779.2_1
g2702.t1_1	rna-NM_176041.2_1
g2704.t1_1	rna-NM_167926.3_1
g2705.t1_1	rna-NM_132064.4_1
g2706.t1_1	rna-NM_001272337.1_1
g2708.t1_1	rna-NM_080310.3_1
g2709.t1_1	rna-NM_001258561.1_1
g2714.t1_1	rna-NM_001014758.3_1
g2719.t1_1	rna-NM_144368.3_1
g2720.t1_1	rna-NM_137705.3_1
g2721.t1_1	rna-NM_141198.4_1
g2723.t2_1	rna-NM_079811.4_1
g2725.t1_1	rna-NM_136660.3_1
g2728.t1_1	rna-NM_167232.2_1
g2730.t1_1	rna-NM_001169829.3_1
g2734.t1_1	rna-NM_206718.2_1
g2736.t2_1	rna-NM_001169974.2_1
g2844.t1_1	rna-NM_079549.3_1
g2851.t1_1	rna-NM_001273955.2_1
g2852.t3_1	rna-NM_001274071.2_1
g2857.t1_1	rna-NM_135524.4_1
g2860.t1_1	rna-NM_132868.5_1
g2862.t1_1	rna-NM_165966.2_1
g2863.t2_1	rna-NM_078743.5_1
g2866.t1_1	rna-NM_001273347.1_1
g2867.t5_1	rna-NM_001414105.1_1
g2869.t2_1	rna-NM_001104476.2_1
g2870.t1_1	rna-NM_142676.4_1
g2871.t1_1	rna-NM_001170090.1_1
g2872.t1_1	rna-NM_080249.5_1
g2873.t1_1	rna-NM_001273214.1_1
g2874.t1_1	rna-NM_135518.3_1
g2875.t1_1	rna-NM_079614.3_1
g2876.t1_1	rna-NM_001298580.1_1
g2877.t1_1	rna-NM_001369957.1_1
g2879.t1_1	rna-NM_001032273.4_1
g2880.t1_1	rna-NM_137795.3_1
g2881.t2_1	rna-NM_001299737.1_1
g2882.t2_1	rna-NM_136328.3_1
g2884.t1_1	rna-NM_058154.5_1
g2885.t2_1	rna-NM_001144320.2_1
g2886.t1_1	rna-NM_141556.5_1
g2887.t1_1	rna-NM_143366.3_1
g2888.t1_1	rna-NM_168160.2_1
g2889.t2_1	rna-NM_141346.3_1
g2890.t1_1	rna-NM_080194.4_1
g2891.t1_1	rna-NM_140725.2_1
g2892.t1_1	rna-NM_143673.3_1
g2894.t1_1	rna-NM_001297844.1_1
g2897.t7_1	rna-NM_164354.3_1
g2898.t1_1	rna-NM_001275513.1_1
g2901.t4_1	rna-NM_001258510.2_1
g2902.t1_1	rna-NM_079106.3_1
g2908.t1_1	rna-NM_057894.4_1
g2910.t1_1	rna-NM_001259529.2_1
g2911.t2_1	rna-NM_001299783.1_1
g2913.t1_1	rna-NM_057861.3_1
g2914.t1_1	rna-NM_135245.3_1
g2915.t1_1	rna-NM_142255.3_1
g2916.t1_1	rna-NM_176201.3_1
g2917.t1_1	rna-NM_132795.4_1
g2919.t1_1	rna-NM_001299212.1_1
g2920.t1_1	rna-NM_141328.3_1
g2921.t1_1	rna-NM_001275347.1_1
g2922.t1_1	rna-NM_079668.3_1
g2923.t2_1	rna-NM_001260395.2_1
g2924.t1_1	rna-NM_139730.3_1
g2925.t1_1	rna-NM_132056.5_1
g2928.t1_1	rna-NM_080241.3_1
g2929.t1_1	rna-NM_140775.3_1
g3032.t1_1	rna-NM_136410.5_1
g3034.t1_1	rna-NM_166164.5_1
g3039.t2_1	rna-NM_058061.5_1
g3044.t1_1	rna-NM_166691.4_1
g3045.t1_1	rna-NM_164730.2_1
g3047.t1_1	rna-NM_001273068.1_1
g3055.t1_1	rna-NM_138095.1_1
g3057.t2_1	rna-NM_141877.2_1
g3059.t1_1	rna-NM_132169.3_1
g3062.t1_1	rna-NM_001273344.1_1
g3064.t1_1	rna-NM_168493.2_1
g3084.t1_1	rna-NM_139693.2_1
g3085.t1_1	rna-NM_001042892.3_1
g3086.t1_1	rna-NM_176478.1_1
g3087.t1_1	rna-NM_166677.3_1
g3090.t1_1	rna-NM_130548.3_1
g3091.t2_1	rna-NM_141434.2_1
g3092.t1_1	rna-NM_079214.4_1
g3116.t2_1	rna-NM_140408.3_1
g3118.t1_1	rna-NM_136949.2_1
g3123.t1_1	rna-NM_001275600.2_1
g3124.t1_1	rna-NM_079617.3_1
g3129.t1_1	rna-NM_136994.2_1
g3134.t1_1	rna-NM_135374.3_1
g3135.t1_1	rna-NM_142925.2_1
g3136.t1_1	rna-NM_169072.3_1
g3137.t1_1	rna-NM_135343.4_1
g3138.t1_1	rna-NM_001297997.1_1
g3141.t1_1	rna-NM_001300420.1_1
g3142.t1_1	rna-NM_001273806.1_1
g3144.t2_1	rna-NM_168563.2_1
g3147.t1_1	rna-NM_167466.2_1
g3149.t1_1	rna-NM_079040.4_1
g3150.t1_1	rna-NM_132895.3_1
g3152.t1_1	rna-NM_001273745.1_1
g3153.t2_1	rna-NM_164996.3_1
g3156.t1_1	rna-NM_135713.3_1
g3159.t1_1	rna-NM_206418.3_1
g3160.t1_1	rna-NM_079944.3_1
g3167.t1_1	rna-NM_001297833.1_1
g3169.t1_1	rna-NM_132797.3_1
g3173.t1_1	rna-NM_140915.4_1
g3179.t1_1	rna-NM_079560.5_1
g3180.t1_1	rna-NM_001276125.1_1
g3182.t1_1	rna-NM_132179.4_1
g3184.t2_1	rna-NM_079442.3_1
g3189.t1_1	rna-NM_142529.3_1
g3194.t1_1	rna-NM_001382192.1_1
g3197.t2_1	rna-NM_001275033.1_1
g3216.t1_1	rna-NM_132322.4_1
g3218.t1_1	rna-NM_140977.2_1
g3222.t1_1	rna-NM_206145.3_1
g3224.t3_1	rna-NM_057651.4_1
g3240.t1_1	rna-NM_001275947.1_1
g3258.t3_1	rna-NM_136066.4_1
g3260.t1_1	rna-NM_001300640.1_1
g3265.t1_1	rna-NM_135231.3_1
g3267.t1_1	rna-NM_057591.4_1
g3272.t1_1	rna-NM_001273340.2_1
g3278.t2_1	rna-NM_169239.1_1
g3279.t1_1	rna-NM_001169403.2_1
g3282.t1_1	rna-NM_139639.2_1
g3285.t1_1	rna-NM_206184.2_1
g3286.t1_1	rna-NM_079408.6_1
g3304.t1_1	rna-NM_001382012.1_1
g3305.t1_1	rna-NM_079376.3_1
g3306.t1_1	rna-NM_176551.3_1
g3308.t1_1	rna-NM_079460.2_1
g3309.t1_1	rna-NM_001202148.2_1
g3310.t2_1	rna-NM_140925.6_1
g3311.t1_1	rna-NM_137565.3_1
g3312.t2_1	rna-NM_140501.3_1
g3313.t1_1	rna-NM_140500.3_1
g3315.t2_1	rna-NM_139364.3_1
g3316.t2_1	rna-NM_001169402.2_1
g3319.t1_1	rna-NM_001038716.2_1
g3320.t1_1	rna-NM_133132.2_1
g3321.t1_1	rna-NM_143662.2_1
g3322.t1_1	rna-NM_079891.3_1
g3323.t1_1	rna-NM_132806.4_1
g3325.t1_1	rna-NM_169054.2_1
g3326.t1_1	rna-NM_141819.2_1
g3327.t1_1	rna-NM_141468.1_1
g3328.t1_1	rna-NM_001347806.1_1
g3329.t1_1	rna-NM_141115.2_1
g3331.t1_1	rna-NM_142438.4_1
g3334.t1_1	rna-NM_080097.4_1
g3335.t2_1	rna-NM_132329.4_1
g3336.t1_1	rna-NM_001297883.1_1
g3337.t1_1	rna-NM_137763.4_1
g3338.t1_1	rna-NM_140184.4_1
g3339.t1_1	rna-NM_001298724.1_1
g3340.t2_1	rna-NM_079672.3_1
g3342.t1_1	rna-NM_136625.3_1
g3343.t1_1	rna-NM_001038913.2_1
g3345.t1_1	rna-NM_058097.6_1
g3348.t1_1	rna-NM_144351.4_1
g3350.t1_1	rna-NM_140669.4_1
g3351.t1_1	rna-NM_143493.3_1
g3353.t1_1	rna-NM_136273.3_1
g3355.t1_1	rna-NM_057249.6_1
g3359.t1_1	rna-NM_135155.2_1
g3362.t2_1	rna-NM_166796.2_1
g3364.t1_1	rna-NM_137426.4_1
g3365.t1_1	rna-NM_169828.3_1
g3366.t2_1	rna-NM_168778.2_1
g3367.t1_1	rna-NM_135544.3_1
g3369.t1_1	rna-NM_136220.3_1
g3370.t2_1	rna-NM_001273594.1_1
g3372.t1_1	rna-NM_079509.3_1
g3373.t1_1	rna-NM_143797.3_1
g3374.t1_1	rna-NM_057783.3_1
g3377.t1_1	rna-NM_001042856.3_1
g3378.t1_1	rna-NM_078726.4_1
g3379.t1_1	rna-NM_001259708.2_1
g3381.t2_1	rna-NM_135244.4_1
g3382.t1_1	rna-NM_001274450.1_1
g3387.t1_1	rna-NM_001276180.1_1
g3388.t1_1	rna-NM_078612.4_1
g3390.t1_1	rna-NM_169364.3_1
g3391.t1_1	rna-NM_058100.4_1
g3392.t1_1	rna-NM_205883.2_1
g3393.t1_1	rna-NM_138199.3_1
g3394.t1_1	rna-NM_176583.3_1
g3395.t1_1	rna-NM_140280.3_1
g3396.t1_1	rna-NM_167364.2_1
g3402.t2_1	rna-NM_135722.4_1
g3403.t1_1	rna-NM_140826.2_1
g3404.t2_1	rna-NM_139990.3_1
g3405.t1_1	rna-NM_001259067.1_1
g3406.t1_1	rna-NM_001258888.2_1
g3407.t1_1	rna-NM_137388.4_1
g3408.t1_1	rna-NM_135992.4_1
g3410.t1_1	rna-NM_001015122.3_1
g3411.t1_1	rna-NM_134645.3_1
g3413.t1_1	rna-NM_001275821.1_1
g3414.t3_1	rna-NM_001202174.2_1
g3415.t1_1	rna-NM_001275364.2_1
g3416.t2_1	rna-NM_143407.3_1
g3417.t1_1	rna-NM_135305.4_1
g3419.t2_1	rna-NM_135041.3_1
g3420.t1_1	rna-NM_001272733.2_1
g3421.t2_1	rna-NM_137199.3_1
g3424.t1_1	rna-NM_079120.3_1
g3427.t1_1	rna-NM_079645.4_1
g3430.t1_1	rna-NM_136409.3_1
g3431.t1_1	rna-NM_170292.2_1
g3432.t1_1	rna-NM_168882.2_1
g3434.t1_1	rna-NM_078690.4_1
g3435.t1_1	rna-NM_001272249.1_1
g3439.t1_1	rna-NM_143223.2_1
g3441.t3_1	rna-NM_001032077.2_1
g3442.t1_1	rna-NM_001258830.2_1
g3443.t1_1	rna-NM_142241.2_1
g3482.t1_1	rna-NM_001258578.1_1
g3483.t1_1	rna-NM_137060.3_1
g3485.t1_1	rna-NM_001300131.1_1
g3498.t1_1	rna-NM_140529.3_1
g3499.t3_1	rna-NM_001201440.1_1
g3501.t1_1	rna-NM_001259562.1_1
g3502.t3_1	rna-NM_135168.5_1
g3510.t1_1	rna-NM_141154.4_1
g3511.t1_1	rna-NM_136765.3_1
g3513.t1_1	rna-NM_079949.3_1
g3514.t1_1	rna-NM_133023.4_1
g3515.t1_1	rna-NM_001031980.2_1
g3516.t1_1	rna-NM_057971.6_1
g3517.t1_1	rna-NM_142515.3_1
g3520.t1_1	rna-NM_001014501.3_1
g3521.t1_1	rna-NM_144472.4_1
g3522.t1_1	rna-NM_136781.2_1
g3524.t1_1	rna-NM_001298269.1_1
g3525.t1_1	rna-NM_001299689.1_1
g3526.t1_1	rna-NM_079226.3_1
g3531.t1_1	rna-NM_139595.3_1
g3535.t1_1	rna-NM_130706.3_1
g3536.t1_1	rna-NM_142428.3_1
g3537.t1_1	rna-NM_140751.4_1
g3538.t1_1	rna-NM_132340.4_1
g3539.t1_1	rna-NM_139848.4_1
g3540.t1_1	rna-NM_137057.3_1
g3547.t1_1	rna-NM_137661.2_1
g3550.t1_1	rna-NM_143701.4_1
g4870.t1_1	rna-NM_079638.3_1
g4878.t1_1	rna-NM_169825.2_1
g4879.t1_1	rna-NM_206476.3_1
g4880.t2_1	rna-NM_001300362.1_1
g4881.t1_1	rna-NM_176268.3_1
g4882.t1_1	rna-NM_142950.2_1
g4883.t1_1	rna-NM_136074.4_1
g4884.t1_1	rna-NM_058055.5_1
g4886.t1_1	rna-NM_001300595.1_1
g4887.t1_1	rna-NM_001273703.1_1
g4888.t2_1	rna-NM_141262.3_1
g4889.t3_1	rna-NM_057419.3_1
g4894.t1_1	rna-NM_001316630.1_1
g4896.t1_1	rna-NM_165069.2_1
g4898.t1_1	rna-NM_206575.3_1
g4899.t1_1	rna-NM_001272141.1_1
g4901.t1_1	rna-NM_078747.3_1
g4902.t1_1	rna-NM_134978.3_1
g4903.t3_1	rna-NM_001316378.1_1
g4905.t1_1	rna-NM_057428.4_1
g4906.t1_1	rna-NM_137407.3_1
g4907.t1_1	rna-NM_135361.3_1
g4908.t1_1	rna-NM_080192.3_1
g4909.t2_1	rna-NM_136090.3_1
g4910.t1_1	rna-NM_080353.5_1
g4911.t1_1	rna-NM_001273322.2_1
g4912.t1_1	rna-NM_130591.3_1
g4913.t1_1	rna-NM_001414066.1_1
g4914.t1_1	rna-NM_001015255.4_1
g4916.t1_1	rna-NM_136467.3_1
g4917.t1_1	rna-NM_078739.3_1
